Country Name,"Country Code","Series Name","Series Code","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
IBRD only,"IBD","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","4471625871139.85","3526773149202.23","4595550195501.2","5685836645236.92","5922282080077.56","6131528004756.13","6077959000000","5203933000000","4915171000000","5675970000000","6387426000000","6226762000000","5709861000000","7518664000000","8427822000000"
IBRD only,"IBD","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","6.80170678833839","6.0311692073507","6.59271560124545","6.77073008938058","7.33504591077163","7.18457612992984","6.85296428381155","5.30943346297021","4.75276446290403","5.2781451123479","6.2088978678067","6.29901613963529","5.52407519293873","",""
IDA & IBRD total,"IBT","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","5106093239934.88","3968017377732.26","5108758750279.6","6288830408348.83","6484047022957.46","6633370633443.94","6718189694041.71","5855652783632.17","5529574087107.35","6247480519896.9","6975231498614.15","6876089647024.35","6532832794717.07","8566527411026.45","9589290664162.1"
IDA & IBRD total,"IBT","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","5.09685382090377","5.48882280918864","5.13285455546954","4.57162337562886","5.21927193864195","5.16846880324339","5.36797199364599","5.49940484699756","5.44684133528643","5.07112720125565","4.68424043754492","5.12754837474763","4.95959971925267","",""
IDA & IBRD total,"IBT","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","4821396535731.93","3822671544568.84","4946228774333.9","6122075192021.44","6372387464430.47","6604244081483.33","6572087607600.97","5652983298170.84","5337001894245.93","6133100340723.38","6900170657061.01","6744028692459.41","6159788639174.97","8115093935368.41","9091503777740.1"
IDA & IBRD total,"IBT","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","7.23904939156339","6.44135030292994","6.96141936496698","7.09597882555339","7.62500996643507","7.43590005680093","7.09153626255454","5.72504926953409","5.09492400034988","5.64654999934969","6.52597935912679","6.60257994386809","5.80030412040476","",""
IDA blend,"IDB","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","145474000000","108830000000","143231000000","190563000000","180128000000","159848000000","173674000000","113305000000","92302000000","108021000000","131793000000","132927000000","99720000000","127505000000","156133000000"
IDA blend,"IDB","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","3.18515455832223","3.82416268607379","3.33372408601614","2.75549783632019","3.67124428497204","2.92954844067567","2.50370938690104","3.12456500132251","3.52968911450855","3.25148303250727","3.2191309909202","3.48750650887771","4.1888514012513","",""
IDA blend,"IDB","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","131945000000","106078000000","125525000000","156374000000","154219000000","163745000000","172367000000","146374000000","136778000000","140586000000","162665000000","168733000000","137633000000","195280000000","210862000000"
IDA blend,"IDB","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","15.5936621336527","12.5699841371457","13.7625848482894","14.6741752651442","15.2994047258404","13.7069346499382","12.5226846728621","10.9073691123526","11.0154069706135","13.1089111057805","14.2756529164038","12.0296141638243","9.87712117594615","",""
IDA only,"IDX","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","143804595254.263","126048196297.039","157225935872.32","185479296092.686","176664337465.14","183079203793.378","184023736504.453","170924720224.084","176312432729.372","205007458893.469","227559962394.4","227169297137.012","226713591425.604","279064050872.825","318439049697.215"
IDA only,"IDX","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","20.8037225115507","18.6059765963341","15.4472554784972","7.09454964743612","7.36222312065981","6.99999487344482","6.48674962358812","5.52972382296303","6.91393256036277","6.3364511481374","5.47387936954147","7.82525487156637","8.97478326925624","",""
IDA only,"IDX","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","216941018651.425","189518305060.743","224285602576.503","278817884616.293","294903925401.901","308006900541.472","321135459434.44","302742787442.6","285099207750.212","316340040697.793","349708418577.83","348319732443.466","311958055416.034","400500353307.844","452160312691.179"
IDA only,"IDX","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","10.6179778906308","9.79304715314696","10.0745900053572","9.57886603244466","9.65753237349448","9.11024373290681","8.62719621869481","10.2953882146285","8.27733857333901","8.74063291520438","8.73313062314938","9.55805362230942","8.86219712736141","",""
IDA total,"IDA","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","289855112628.114","235161917671.193","300899592443.011","376820651993.31","357517349984.26","343360380942.554","358287377390.502","284207907694.817","268300416428.67","312671601436.736","359097879299.044","359857788079.712","325955294676.179","406015020014.527","474017436441.198"
IDA total,"IDA","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","13.0081961629643","12.7561957737791","10.2141550625058","4.88508868759338","5.43096862228763","5.03211629218698","4.58678106190743","4.51331029186195","5.6043669589263","5.1154490860539","4.52997588699722","6.06548213784617","7.31128316442938","",""
IDA total,"IDA","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","349290138901.714","295806305063.094","350058923312.618","435505705320.822","449280859547.372","471958476318.153","493743409473.103","449092979605.474","421838201223.143","456708718439.513","512246029264.722","517030366595.987","449361089360.399","595732568460.763","662840438247.127"
IDA total,"IDA","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","12.2136463307226","10.6633682485587","11.2455305310569","11.498675909175","11.6967706725372","10.7534929347731","10.0189084901449","10.5010429753863","9.16369222848409","10.1095529502538","10.5286209349988","10.344166542452","9.17918745234667","",""
Late-demographic dividend,"LTE","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","3817018198760.69","3015270872086.37","3831022257292.95","4761623573414.54","5008034288531.2","5229958968729.96","5306860977387.18","4694991343054.57","4412796313940.27","4915989052656.65","5573675198649.29","5519619512408.72","5382841091957.01","6944773348432.12","7819459960610.5"
Late-demographic dividend,"LTE","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","3.9285703888117","4.30329989143707","4.04224276911311","3.83740536744776","4.25830206049421","4.49633450148385","4.73843183466095","5.1488698535951","5.03670525538108","4.58731290613227","4.24098441382779","4.45406542358502","4.38311165645734","",""
Late-demographic dividend,"LTE","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","3219856176706.76","2562395180422.46","3297723886030.35","4081100712300.3","4239797191041.55","4476819120990.41","4466579105442.21","3826089237904.11","3682238607714.12","4200326567271.03","4727815279721.36","4686372894292","4464900580132.64","5802113946558.92","6275396403108.38"
Late-demographic dividend,"LTE","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","5.05629861584835","4.50799366034471","4.83096346929467","5.43846017570477","5.89825209961991","5.78955695993745","5.66712529423506","4.63843418306061","4.21388275413431","4.5242892635979","5.33107989712971","5.56341407412417","4.74690332477621","",""
Latin America & Caribbean,"LCN","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","976370913617.335","757908798874.771","958593412833.606","1194135596695.63","1204319952140.69","1193690879123.33","1161234033931.45","987830679837.293","952215784275.005","1065823801544.69","1159582234995.92","1130243960030.23","1023932285385.8","1302770805432.4","1522924688263.97"
Latin America & Caribbean,"LCN","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","1.86784712448625","2.11617342633598","2.1369237497003","2.26039443374359","2.18533810985823","2.24336606136824","2.24405186784541","2.21946336966053","2.33809515568234","2.5354247026843","2.24634698446838","2.58684807225261","2.55552318915883","",""
Latin America & Caribbean,"LCN","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","966929735431.214","723565195700.094","934205072277.31","1144235782577.87","1179854766744.33","1216976578142.51","1208723005161.63","1075853112969.7","975301967600.995","1066368727325.29","1179649354941.44","1135063372547.62","955027661778.894","1320562755749.04","1604727505294.2"
Latin America & Caribbean,"LCN","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","1.50200967785236","0.953127690018038","1.10789420906498","1.33363520347362","1.34300852269209","1.37673079927969","1.35802275176563","0.976421057489011","0.861391432356433","0.970358384160121","1.07553147934404","1.08526992441831","1.027371850235","",""
Latin America & Caribbean (excluding high income),"LAC","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","703985000000","560868000000","721352000000","888371000000","899947000000","896214000000","888109000000","784855000000","767443000000","857896000000","934467000000","933700000000","845920000000","1074006000000","1257421000000"
Latin America & Caribbean (excluding high income),"LAC","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","2.24348078702849","2.48478886458618","2.51314823609641","2.66171443561818","2.53423008708479","2.56900072508359","2.53094054978255","2.44823626041267","2.53785814674275","2.58821484771294","2.20272419958786","2.53988589259246","2.66299890162846","",""
Latin America & Caribbean (excluding high income),"LAC","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","763122000000","571040000000","755437000000","916254000000","939563000000","979479000000","983556000000","883739000000","812556000000","898391000000","992365000000","962495000000","812879000000","1115404000000","1359835584091.03"
Latin America & Caribbean (excluding high income),"LAC","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","1.76347363901585","1.11613913507704","1.23358275628415","1.49968155649968","1.57768060813605","1.57316103833047","1.54439103114278","1.08370425252764","0.946054211374348","1.06466731517519","1.1813745358225","1.16553483318155","1.09702936302295","",""
Latin America & the Caribbean (IDA & IBRD countries),"TLA","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","894879000000","696942000000","882943000000","1094821000000","1108340000000","1100498000000","1070976000000","911905000000","879964000000","985507000000","1072302000000","1045495000000","947780000000","1206127000000","1410056000000"
Latin America & the Caribbean (IDA & IBRD countries),"TLA","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","1.87237658346569","2.12167330797924","2.14180797576364","2.26526447382692","2.18997055777319","2.22985324782144","2.23714073215119","2.21890124654916","2.33805884349104","2.53119867590858","2.25051302573292","2.59480035102902","2.56062381930723","",""
Latin America & the Caribbean (IDA & IBRD countries),"TLA","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","897763000000","675497000000","876155000000","1069193000000","1107054000000","1142784000000","1136266000000","1011219000000","916585000000","1003811000000","1110265000000","1069470000000","901645000000","1248992000000","1517403000000"
Latin America & the Caribbean (IDA & IBRD countries),"TLA","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","1.52516001314517","0.966931269959495","1.12102679091542","1.3498068161583","1.35898325016007","1.39325980397339","1.37404827638923","0.989989952999447","0.87360709408099","0.983624592370721","1.09063303765057","1.09961576424923","1.03936278376466","",""
Least developed countries: UN classification,"LDC","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","155052114872.594","120359558456.419","153185356003.485","189533628642.178","191541082609.013","196017837493.914","186742156340.912","151725389482.151","151540854607.597","180741204563.976","207861713945.269","199690183450.511","188065403227.159","240234334725.327","281936312492.466"
